open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1766016000000,86201.60,86263.10,86139.10,86159.80,428.957,1766016299999,36973574.28250,12170,236.325,20371249.92370,0
1766016300000,86159.80,86176.40,86055.80,86124.10,314.729,1766016599999,27101738.96720,11306,155.570,13397059.60950,0
1766016600000,86124.10,86149.70,86082.10,86124.10,185.950,1766016899999,16012560.16530,5740,71.831,6185329.66140,0
1766016900000,86124.10,86221.50,86069.90,86072.10,205.585,1766017199999,17707590.21410,7468,72.902,6279364.63120,0
1766017200000,86072.00,86131.30,86012.10,86109.10,182.831,1766017499999,15737817.91280,6666,89.868,7735579.21590,0
1766017500000,86109.10,86218.70,86081.20,86218.70,118.639,1766017799999,10221370.85910,5492,77.882,6709709.86610,0
1766017800000,86218.70,86284.00,86185.70,86278.50,255.283,1766018099999,22014863.36650,6699,186.883,16117752.51510,0
1766018100000,86278.40,86278.40,86210.00,86249.60,141.002,1766018399999,12159708.00680,5245,68.386,5897420.50030,0
1766018400000,86249.60,86249.70,86115.70,86122.90,120.509,1766018699999,10383730.92410,5009,67.118,5783150.58270,0
1766018700000,86123.00,86212.30,86089.90,86212.30,128.520,1766018999999,11070705.04040,5050,74.242,6395958.21990,0
1766019000000,86212.20,86250.00,86200.00,86227.30,112.364,1766019299999,9688389.55840,4490,54.673,4714036.64980,0
1766019300000,86227.20,86255.00,86173.00,86191.90,142.615,1766019599999,12295672.28790,4877,83.078,7163161.59310,0
1766019600000,86191.80,86207.30,86034.50,86034.60,205.269,1766019899999,17675091.32140,7555,88.597,7628552.14480,0
1766019900000,86034.60,86034.60,85835.40,85864.60,528.991,1766020199999,45448695.85350,16963,188.579,16204365.69600,0
1766020200000,85864.60,85949.20,85820.60,85917.20,378.259,1766020499999,32486284.91590,13431,196.167,16848086.21500,0
1766020500000,85917.20,85997.10,85836.30,85894.20,256.595,1766020799999,22048949.17680,11013,114.647,9850732.24810,0
1766020800000,85894.30,86029.10,85894.20,86005.70,200.596,1766021099999,17248010.90600,9034,124.775,10728264.95710,0
1766021100000,86005.70,86013.50,85949.60,85960.10,108.021,1766021399999,9288315.47250,4764,47.743,4105269.22300,0
