open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1770940800000,1947.15,1954.00,1942.37,1946.33,35534.834,1770941699999,69258527.88885,86691,18026.516,35142914.29442,0
1770941700000,1946.34,1946.58,1933.22,1934.25,63433.862,1770942599999,122980247.00837,92795,27775.239,53826223.74466,0
1770942600000,1934.26,1938.80,1930.29,1931.40,35519.810,1770943499999,68705357.36592,74934,18422.092,35636913.42431,0
1770943500000,1931.41,1935.61,1926.72,1932.22,29712.750,1770944399999,57386336.65933,77512,14807.754,28602663.14324,0
1770944400000,1932.23,1944.57,1932.23,1943.85,26985.051,1770945299999,52359073.02208,79913,15714.677,30489834.01835,0
1770945300000,1943.85,1945.36,1935.77,1940.11,26406.248,1770946199999,51226875.90431,73335,13469.626,26132418.08188,0
1770946200000,1940.12,1949.47,1939.11,1945.56,27093.904,1770947099999,52696560.72440,76932,13696.480,26641793.67110,0
1770947100000,1945.56,1949.35,1938.30,1942.80,22432.149,1770947999999,43613152.21871,65161,10971.244,21335264.17552,0
1770948000000,1942.81,1948.35,1941.34,1947.16,20593.086,1770948899999,40051360.20879,59528,11639.196,22637023.47453,0
1770948900000,1947.16,1947.94,1940.41,1945.26,25379.883,1770949799999,49364731.64704,63780,9976.147,19405314.76971,0
1770949800000,1945.27,1947.38,1940.08,1946.46,21101.971,1770950699999,41020513.87742,54623,12328.205,23969465.33460,0
1770950700000,1946.46,1951.26,1943.38,1947.25,27841.667,1770951599999,54231363.74213,67681,14233.663,27725284.25282,0
1770951600000,1947.26,1950.90,1943.30,1944.33,20034.429,1770952499999,39002072.36921,56416,10694.504,20823994.19394,0
1770952500000,1944.33,1950.60,1943.58,1950.50,16850.851,1770953399999,32819641.14681,42104,10104.105,19678653.32449,0
1770953400000,1950.49,1957.94,1950.21,1953.29,50784.061,1770954299999,99243498.33921,93510,25259.390,49368731.52836,0
1770954300000,1953.30,1954.12,1948.75,1952.49,20453.327,1770955199999,39906588.89565,46750,8709.054,16992753.57379,0
1770955200000,1952.49,1953.92,1948.50,1950.84,22695.765,1770956099999,44279973.76558,55986,11630.777,22691368.86868,0
1770956100000,1950.84,1954.76,1947.09,1949.59,23311.488,1770956999999,45500631.92711,58062,11698.902,22837163.47556,0
1770957000000,1949.60,1951.60,1946.00,1946.45,20128.804,1770957899999,39237786.70576,45982,8764.247,17084038.19475,0
1770957900000,1946.46,1950.91,1941.97,1943.72,38162.903,1770958799999,74260588.76380,53303,12486.477,24304668.81895,0
1770958800000,1943.73,1945.99,1936.22,1936.37,38662.913,1770959699999,75033760.18463,68204,17182.918,33355508.73469,0
1770959700000,1936.37,1941.97,1934.19,1938.26,30583.920,1770960599999,59273342.80218,59967,16119.733,31243728.08130,0
1770960600000,1938.25,1942.80,1937.03,1942.26,18705.295,1770961499999,36285390.89252,48009,8624.113,16729640.47230,0
1770961500000,1942.26,1943.75,1931.51,1932.99,32654.531,1770962399999,63237190.21854,50913,11697.182,22656793.83729,0
1770962400000,1932.99,1936.83,1932.96,1933.93,21254.786,1770963299999,41127527.42229,44611,9363.256,18118500.46091,0
1770963300000,1933.93,1938.32,1926.88,1930.12,51236.122,1770964199999,98941219.54754,83248,22487.031,43435518.73688,0
1770964200000,1930.11,1930.12,1923.29,1929.01,35493.695,1770965099999,68385707.36549,68888,15798.960,30443623.27982,0
1770965100000,1929.01,1936.74,1927.44,1935.65,28829.303,1770965999999,55720238.39557,57371,17269.318,33381799.25588,0
1770966000000,1935.64,1947.86,1935.00,1945.99,56587.403,1770966899999,109898273.93614,92501,36571.696,71017018.24487,0
1770966900000,1945.99,1946.86,1942.51,1945.23,24515.863,1770967799999,47677099.24797,54236,10564.087,20545196.36190,0
1770967800000,1945.23,1945.23,1931.71,1932.70,49820.715,1770968699999,96507484.99831,82842,19612.304,37999418.03883,0
1770968700000,1932.70,1938.51,1931.64,1934.88,31727.648,1770969599999,61397889.39287,47708,12777.126,24728054.50601,0
1770969600000,1934.89,1943.32,1932.88,1937.73,29313.966,1770970499999,56839982.92575,68557,14567.132,28249540.70011,0
1770970500000,1937.72,1946.50,1935.74,1944.18,25488.019,1770971399999,49488935.90108,68322,13296.668,25821230.56780,0
1770971400000,1944.17,1949.40,1943.03,1948.03,26845.407,1770972299999,52251409.85313,57139,14016.347,27283989.84991,0
1770972300000,1948.03,1964.50,1948.02,1958.31,103617.095,1770973199999,202718456.47074,126333,65850.924,128798032.63499,0
1770973200000,1958.32,1961.32,1952.07,1953.62,46994.396,1770974099999,91965191.89923,88517,24370.061,47699239.05824,0
1770974100000,1953.62,1962.30,1953.32,1960.00,32811.927,1770974999999,64234546.20324,66363,18617.370,36445722.86662,0
1770975000000,1960.00,1966.80,1958.73,1959.57,45956.733,1770975899999,90158202.52685,83049,25322.133,49684344.57699,0
1770975900000,1959.57,1965.96,1959.57,1961.18,30406.003,1770976799999,59671011.60510,61970,16267.057,31927098.35640,0
1770976800000,1961.18,1963.74,1956.25,1958.18,36084.078,1770977699999,70687305.06189,68226,17332.374,33956254.78460,0
1770977700000,1958.18,1968.49,1956.35,1957.82,52995.259,1770978599999,103946124.86967,84866,29978.567,58808252.62397,0
1770978600000,1957.83,1963.00,1955.57,1960.64,21922.288,1770979499999,42955577.63224,56024,11330.785,22205824.00380,0
1770979500000,1960.64,1962.82,1956.91,1958.60,22440.852,1770980399999,43970136.58207,54455,12132.075,23771329.85778,0
1770980400000,1958.61,1959.40,1952.85,1954.74,32729.956,1770981299999,63992535.31243,67664,15403.539,30118670.00867,0
1770981300000,1954.75,1957.13,1952.26,1955.40,19910.397,1770982199999,38918624.68891,52317,10004.728,19555488.23509,0
1770982200000,1955.40,1961.50,1943.79,1957.60,73665.694,1770983099999,143769624.96248,107493,30198.211,58983779.36381,0
1770983100000,1957.60,1960.62,1955.24,1959.25,22397.423,1770983999999,43859809.29600,52636,12138.957,23772054.13813,0
1770984000000,1959.26,1959.88,1951.59,1954.63,26547.382,1770984899999,51909129.42362,58279,14278.359,27921460.54468,0
1770984900000,1954.63,1962.76,1952.68,1961.60,20483.167,1770985799999,40110621.86216,48629,12316.802,24121520.00312,0
1770985800000,1961.60,1964.02,1958.00,1959.55,21472.829,1770986699999,42110939.50813,51937,11093.336,21756366.00559,0
1770986700000,1959.55,1963.82,1957.64,1960.01,24096.251,1770987599999,47253503.23690,51530,11891.983,23321209.20936,0
1770987600000,1960.00,1964.10,1954.89,1957.52,31960.457,1770988499999,62619822.14180,76954,15443.821,30260942.56278,0
1770988500000,1957.52,1972.00,1957.13,1968.18,86748.083,1770989399999,170688566.08646,107572,57593.251,113338206.46632,0
1770989400000,1968.18,1980.33,1965.52,1969.67,137665.287,1770990299999,271635069.24424,244943,72433.321,142957030.51120,0
1770990300000,1969.68,1975.36,1964.43,1969.66,50429.182,1770991199999,99331458.77798,116409,24118.366,47510890.08847,0
1770991200000,1969.65,1970.99,1962.21,1963.08,33582.930,1770992099999,66015075.86516,91708,15300.356,30076436.83668,0
1770992100000,1963.08,1975.80,1962.82,1974.90,43033.246,1770992999999,84787130.84372,77894,26678.749,52562881.89035,0
1770993000000,1974.89,1990.00,1965.43,1983.25,248669.084,1770993899999,492069278.07519,361061,112077.463,221827200.27929,0
1770993900000,1983.24,2002.00,1982.99,1989.99,214354.114,1770994799999,427179209.21369,355431,109669.568,218595400.07219,0
1770994800000,1989.99,2030.29,1986.08,2020.06,284583.140,1770995699999,572274519.70558,401289,159214.811,320244700.56035,0
1770995700000,2020.06,2039.51,2013.14,2038.73,203825.302,1770996599999,412743794.53776,317459,103090.831,208869796.10984,0
1770996600000,2038.73,2049.99,2032.00,2032.50,239211.508,1770997499999,488369541.31945,299239,127068.983,259451064.17474,0
1770997500000,2032.51,2034.90,2023.01,2033.71,148931.142,1770998399999,302217264.44115,213974,77689.956,157665171.30272,0
1770998400000,2033.78,2062.27,2030.13,2050.16,225975.278,1770999299999,462798997.78577,272641,119721.367,245292820.12512,0
1770999300000,2050.16,2058.34,2042.57,2055.10,86856.875,1771000199999,178027181.13324,181997,46829.170,95999234.49566,0
1771000200000,2055.09,2073.00,2053.29,2063.47,138313.649,1771001099999,285290163.83065,226902,74596.584,153891158.19300,0
1771001100000,2063.48,2069.52,2058.56,2060.59,71712.471,1771001999999,148002948.03542,130695,30857.356,63702102.82654,0
1771002000000,2060.58,2061.40,2048.09,2058.45,86992.158,1771002899999,178682777.72483,149565,41300.525,84837133.85523,0
1771002900000,2058.45,2061.86,2052.85,2056.93,40326.571,1771003799999,82978547.69174,103898,18342.249,37750798.52629,0
1771003800000,2056.93,2067.00,2056.34,2061.40,38027.260,1771004699999,78431243.43075,87635,19131.787,39463600.96117,0
1771004700000,2061.41,2064.79,2056.45,2058.36,32804.588,1771005599999,67573517.41886,80405,14648.395,30172895.28883,0
1771005600000,2058.36,2060.59,2051.52,2054.61,57180.353,1771006499999,117546957.15381,98093,22538.130,46335691.79753,0
1771006500000,2054.60,2057.48,2049.44,2054.45,36831.320,1771007399999,75629395.25914,86112,17727.478,36406779.98719,0
1771007400000,2054.45,2063.93,2052.30,2058.21,32214.477,1771008299999,66312210.30662,82834,18120.893,37301662.66660,0
1771008300000,2058.22,2063.00,2054.66,2056.50,29951.109,1771009199999,61664666.52874,68768,11696.730,24082195.59701,0
1771009200000,2056.50,2060.51,2053.57,2057.42,25387.384,1771010099999,52200221.98606,65539,11195.171,23021923.74536,0
1771010100000,2057.42,2060.78,2052.92,2052.93,22757.887,1771010999999,46828409.60789,47538,10862.862,22353240.24464,0
1771011000000,2052.93,2055.83,2050.82,2051.68,31706.680,1771011899999,65113330.50259,62897,14074.520,28904443.03198,0
1771011900000,2051.68,2060.75,2051.68,2056.82,25017.433,1771012799999,51469754.47744,47842,13006.514,26760486.99301,0
1771012800000,2056.82,2058.79,2051.00,2051.43,29016.886,1771013699999,59644223.38236,55879,13274.455,27284933.50612,0
1771013700000,2051.44,2053.15,2043.20,2045.07,53749.609,1771014599999,110040497.21932,75624,25777.618,52774379.61716,0
1771014600000,2045.08,2049.54,2036.76,2044.61,44777.798,1771015499999,91461888.11591,86279,19582.183,40009260.21154,0
1771015500000,2044.61,2048.23,2042.40,2044.55,22949.753,1771016399999,46934277.29528,71304,11128.927,22759951.26743,0
1771016400000,2044.55,2057.77,2043.75,2055.84,35106.228,1771017299999,72084724.90742,62991,20237.766,41552952.59720,0
1771017300000,2055.85,2055.85,2050.05,2050.52,13245.414,1771018199999,27192131.12860,30679,5788.556,11883687.35415,0
1771018200000,2050.53,2053.63,2050.09,2052.45,10039.217,1771019099999,20597777.61601,27628,5425.179,11131818.59948,0
1771019100000,2052.45,2053.39,2048.32,2052.92,9473.712,1771019999999,19430320.60610,26618,5290.003,10850767.44442,0
1771020000000,2052.92,2058.75,2043.14,2044.69,39799.606,1771020899999,81626047.03857,54566,12322.601,25303888.17729,0
1771020900000,2044.69,2051.17,2042.97,2050.88,19979.912,1771021799999,40909386.79841,25827,9862.606,20195558.96648,0
1771021800000,2050.88,2051.34,2046.00,2049.00,8157.683,1771022699999,16710826.49678,17987,3987.166,8167672.41172,0
1771022700000,2049.01,2053.38,2046.92,2053.37,8968.329,1771023599999,18390315.85048,26105,4439.152,9103524.50642,0
1771023600000,2053.37,2053.38,2048.20,2050.55,11901.992,1771024499999,24406755.87292,33943,5427.429,11128977.32471,0
1771024500000,2050.55,2052.77,2048.75,2049.34,9022.626,1771025399999,18500667.02639,23584,4110.274,8427953.36736,0
1771025400000,2049.35,2051.13,2045.40,2046.10,14914.991,1771026299999,30536879.25029,23564,8750.471,17914868.40401,0
1771026300000,2046.10,2049.80,2045.79,2047.60,10064.057,1771027199999,20609063.50336,22231,5440.364,11140803.70309,0
