open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1769731200000,2821.00,2827.27,2800.67,2803.79,131999.672,1769734799999,371060652.93100,187021,57457.727,161537406.67176,0
1769734800000,2803.79,2812.13,2673.33,2745.65,837580.159,1769738399999,2297282339.89726,1065547,360856.152,989919692.16458,0
1769738400000,2745.65,2749.90,2696.61,2735.22,492377.733,1769741999999,1342130313.31077,1023242,248140.252,676473950.18039,0
1769742000000,2735.22,2747.23,2732.72,2739.74,114166.362,1769745599999,312757962.65355,304950,65356.957,179057014.33065,0
1769745600000,2739.74,2773.68,2736.56,2751.83,213407.651,1769749199999,588471754.73900,336338,115134.656,317488362.61999,0
1769749200000,2751.84,2759.85,2745.46,2745.78,93721.900,1769752799999,257878867.15964,175095,49083.733,135074435.31192,0
1769752800000,2745.78,2747.43,2695.03,2717.00,316939.182,1769756399999,862096846.62186,480449,133230.579,362458764.19133,0
1769756400000,2717.00,2749.58,2716.33,2738.43,254971.924,1769759999999,697533048.90077,402073,143174.144,391677194.43107,0
1769760000000,2738.43,2747.36,2721.01,2736.19,138264.260,1769763599999,377982979.92534,322941,65259.972,178428479.83869,0
1769763600000,2736.20,2742.97,2708.00,2720.84,192256.657,1769767199999,523965060.28777,366338,93385.854,254531730.37407,0
1769767200000,2720.84,2735.81,2710.17,2734.81,131222.386,1769770799999,357373323.26884,288063,71953.383,196021670.34864,0
1769770800000,2734.81,2767.80,2733.22,2758.50,188991.524,1769774399999,519526655.27471,302357,106161.211,291852614.20949,0
1769774400000,2758.49,2765.50,2736.42,2739.31,161328.430,1769777999999,443345409.26756,294307,74456.470,204642109.12794,0
1769778000000,2739.31,2750.80,2718.00,2728.79,221922.077,1769781599999,606399428.46732,442313,106908.202,292233590.12283,0
1769781600000,2728.78,2763.93,2722.32,2736.37,322804.768,1769785199999,885186071.66498,789488,171474.474,470335081.68819,0
1769785200000,2736.38,2751.77,2689.00,2727.63,532240.404,1769788799999,1450217831.36163,1058644,258398.055,704392529.76523,0
1769788800000,2727.63,2743.14,2703.97,2725.49,310985.208,1769792399999,848016523.19927,772530,153418.561,418446195.03022,0
1769792400000,2725.50,2739.88,2704.73,2711.16,285451.060,1769795999999,776469107.87162,664118,144075.339,391938770.93171,0
1769796000000,2711.16,2749.60,2634.63,2739.26,875387.111,1769799599999,2352122902.54812,1479104,416421.097,1120042855.25001,0
1769799600000,2739.26,2760.00,2733.08,2741.36,321059.070,1769803199999,881600711.93184,767785,161827.851,444380924.68453,0
1769803200000,2741.36,2741.89,2662.47,2678.83,568762.198,1769806799999,1531473478.69479,1132119,248438.905,668993803.64762,0
1769806800000,2678.82,2713.79,2675.60,2703.54,230451.674,1769810399999,621895847.57184,450122,125655.302,339097494.43630,0
1769810400000,2703.56,2708.64,2691.38,2708.63,60342.793,1769813999999,162920646.62859,153851,29141.354,78689096.19319,0
1769814000000,2708.63,2710.70,2692.68,2705.66,87171.705,1769817599999,235441126.99512,118412,47700.715,128827996.72004,0
