open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1766534400000,123.9600,124.2500,123.5200,123.8100,418901.44,1766537999999,51883199.068600,53769,211199.71,26157086.562200,0
1766538000000,123.8100,124.1600,122.8900,123.0700,537514.44,1766541599999,66324552.715900,64003,239076.56,29500957.529900,0
1766541600000,123.0600,123.1000,121.7000,122.2400,976808.49,1766545199999,119508753.715700,106678,416461.41,50958296.542600,0
1766545200000,122.2500,122.7500,121.6800,122.6600,590870.08,1766548799999,72204656.019600,71655,313992.79,38382008.322600,0
1766548800000,122.6600,123.0100,121.4000,121.5600,863476.89,1766552399999,105378383.322600,84321,402361.33,49133795.754100,0
1766552400000,121.5700,121.9800,121.0400,121.3900,693905.23,1766555999999,84312567.972600,81467,320748.09,38982843.060200,0
1766556000000,121.4000,121.5200,120.5100,121.5000,826021.17,1766559599999,99968711.372400,85659,390592.07,47284106.175700,0
1766559600000,121.5100,121.8100,121.2100,121.2400,424271.38,1766563199999,51557397.694100,52698,196797.01,23919651.026600,0
1766563200000,121.2500,121.6000,121.0100,121.3200,507519.41,1766566799999,61572333.045600,60455,236939.38,28747200.510200,0
1766566800000,121.3200,121.6700,121.2000,121.3400,415100.35,1766570399999,50409606.533400,44020,205722.46,24983249.796800,0
1766570400000,121.3500,122.1700,121.3000,121.7000,590500.74,1766573999999,71936063.074400,56706,323174.43,39369086.349700,0
1766574000000,121.7000,122.1700,121.6900,121.9800,362399.39,1766577599999,44215756.466400,42436,173178.12,21128159.918000,0
1766577600000,121.9800,122.4900,121.8600,122.3900,378217.54,1766581199999,46199906.649800,44824,211775.21,25872814.879000,0
1766581200000,122.4000,122.4000,121.6500,121.8900,438209.40,1766584799999,53469912.118600,49593,179610.84,21914456.318300,0
1766584800000,121.9000,122.2500,120.6100,121.4400,1169274.66,1766588399999,142065457.674600,129977,566368.22,68828730.999000,0
1766588400000,121.4400,122.8900,121.2400,122.6700,989506.00,1766591999999,120844251.540800,118282,495760.80,60549923.520600,0
1766592000000,122.6700,123.4300,122.3600,122.6700,1082732.38,1766595599999,133005393.471800,114148,539856.24,66324350.858900,0
1766595600000,122.6600,122.9500,121.8900,121.9900,516967.93,1766599199999,63314758.134700,72957,224720.69,27531686.529200,0
1766599200000,121.9900,122.6600,121.7100,122.4300,432332.82,1766602799999,52823272.992600,55492,212966.47,26023589.183400,0
1766602800000,122.4200,122.8300,121.9100,122.8200,423568.70,1766606399999,51829810.951700,47579,204281.42,25009503.037500,0
1766606400000,122.8200,123.0800,122.5300,122.6200,403139.79,1766609999999,49533833.675900,40586,209224.95,25712317.548200,0
1766610000000,122.6300,123.0300,122.5600,122.9300,209959.78,1766613599999,25788808.831800,30674,102099.30,12541095.087200,0
1766613600000,122.9200,123.3600,122.8700,123.2500,351278.31,1766617199999,43248660.319000,38116,200989.77,24743871.059200,0
1766617200000,123.2600,123.3000,122.4100,122.4900,339767.22,1766620799999,41734124.694600,41786,140468.87,17252522.650300,0
