open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1752537600000,162.1200,162.1700,161.9500,161.9900,44370.12,1752537899999,7190690.073300,5578,24044.16,3896569.480100,0
1752537900000,161.9800,162.0000,161.8000,161.8500,31356.75,1752538199999,5076833.601000,4630,16601.37,2687908.122100,0
1752538200000,161.8500,162.0100,161.8000,161.8400,20187.09,1752538499999,3268410.183800,3757,9591.34,1552818.500100,0
1752538500000,161.8400,162.2600,161.7700,162.2500,30183.07,1752538799999,4891862.388700,4760,15471.28,2507766.524300,0
1752538800000,162.2500,162.6900,162.2000,162.6000,42695.46,1752539099999,6937702.768400,5662,29190.51,4743608.554700,0
1752539100000,162.6100,162.8200,162.5800,162.6500,53501.98,1752539399999,8705421.701000,6743,26063.03,4240718.709200,0
1752539400000,162.6500,162.6600,162.2400,162.2500,36415.59,1752539699999,5915484.438000,6034,17484.89,2840094.594800,0
1752539700000,162.2500,162.3000,161.9000,161.9600,41432.50,1752539999999,6714437.106800,5503,16828.27,2727212.148700,0
1752540000000,161.9600,161.9700,161.0500,161.5500,160289.06,1752540299999,25886690.861600,17135,55473.01,8961500.090100,0
1752540300000,161.5400,161.6900,161.0400,161.3100,99670.82,1752540599999,16075653.429600,10025,41658.99,6720191.991300,0
1752540600000,161.3100,161.5600,161.3000,161.4200,64036.90,1752540899999,10337612.107800,6569,32850.64,5303257.625000,0
1752540900000,161.4200,161.5400,161.1400,161.3200,40420.90,1752541199999,6520172.350500,5246,17742.25,2862468.455500,0
1752541200000,161.3100,161.3400,160.8100,160.9300,142501.65,1752541499999,22944611.448340,18178,38924.23,6267095.794500,0
1752541500000,160.9400,161.0200,160.5000,160.5900,125083.26,1752541799999,20106196.910200,11699,45695.63,7345683.554800,0
1752541800000,160.5900,160.7200,160.4100,160.6800,97439.27,1752542099999,15647310.749300,11010,39256.22,6304035.407600,0
1752542100000,160.6800,161.3700,160.6800,160.8900,103072.63,1752542399999,16606393.115600,10623,44554.52,7177712.825300,0
1752542400000,160.9000,160.9800,160.2400,160.2900,129626.48,1752542699999,20812214.248900,13215,42532.88,6828422.581400,0
1752542700000,160.2800,160.9900,160.2200,160.9500,74676.14,1752542999999,11999089.588400,8819,39859.45,6405977.309900,0
1752543000000,160.9400,161.4200,160.8100,161.3700,57714.06,1752543299999,9298470.567900,8088,35643.40,5743350.247400,0
1752543300000,161.3600,161.6100,161.2200,161.6000,53495.83,1752543599999,8634277.303600,6071,28765.68,4643474.095400,0
